anio_mundial,nombre_grupo,nombre_pais,posicion_grupo,pts,pj,pg,pe,pp,gf,gc,dif,clasifico
1962,Grupo 4,Argentina,3,3,3,1,1,1,2,3,-1,0
1962,Grupo 4,Bulgaria,4,1,3,0,1,2,1,7,-6,0
1966,Grupo 1,Inglaterra,1,5,3,2,1,0,4,0,4,1
1966,Grupo 1,Uruguay,2,4,3,1,2,0,2,1,1,1
1966,Grupo 1,México,3,2,3,0,2,1,1,3,-2,0
1966,Grupo 1,Francia,4,1,3,0,1,2,2,5,-3,0
1966,Grupo 2,Alemania Occidental,1,5,3,2,1,0,7,1,6,1
1966,Grupo 2,Argentina,2,5,3,2,1,0,4,1,3,1
1966,Grupo 2,España,3,2,3,1,0,2,4,5,-1,0
1966,Grupo 2,Suiza,4,0,3,0,0,3,1,9,-8,0
1966,Grupo 3,Portugal,1,6,3,3,0,0,9,2,7,1
1966,Grupo 3,Hungría,2,4,3,2,0,1,7,5,2,1
1966,Grupo 3,Brasil,3,2,3,1,0,2,4,6,-2,0
1966,Grupo 3,Bulgaria,4,0,3,0,0,3,1,8,-7,0
1966,Grupo 4,URSS,1,6,3,3,0,0,6,1,5,1
1966,Grupo 4,Corea del Norte,2,3,3,1,1,1,2,4,-2,1
1966,Grupo 4,Italia,3,2,3,1,0,2,2,2,0,0
1966,Grupo 4,Chile,4,1,3,0,1,2,2,5,-3,0
1970,Grupo 1,URSS,1,5,3,2,1,0,6,1,5,1
1970,Grupo 1,México,2,5,3,2,1,0,5,0,5,1
1970,Grupo 1,Bélgica,3,2,3,1,0,2,4,5,-1,0
1970,Grupo 1,El Salvador,4,0,3,0,0,3,0,9,-9,0
1970,Grupo 2,Italia,1,4,3,1,2,0,1,0,1,1
1970,Grupo 2,Uruguay,2,3,3,1,1,1,2,1,1,1
1970,Grupo 2,Suecia,3,3,3,1,1,1,2,2,0,0
1970,Grupo 2,Israel,4,2,3,0,2,1,1,3,-2,0
1970,Grupo 3,Brasil,1,6,3,3,0,0,8,3,5,1
1970,Grupo 3,Inglaterra,2,4,3,2,0,1,2,1,1,1
1970,Grupo 3,Rumania,3,2,3,1,0,2,4,5,-1,0
1970,Grupo 3,Checoslovaquia,4,0,3,0,0,3,2,7,-5,0
1970,Grupo 4,Alemania Occidental,1,6,3,3,0,0,10,4,6,1
1970,Grupo 4,Perú,2,4,3,2,0,1,7,5,2,1
1970,Grupo 4,Bulgaria,3,1,3,0,1,2,5,9,-4,0
1970,Grupo 4,Marruecos,4,1,3,0,1,2,2,6,-4,0
1974,Grupo 1,Alemania Oriental,1,5,3,2,1,0,4,1,3,1
1974,Grupo 1,Alemania Occidental,2,4,3,2,0,1,4,1,3,1
1974,Grupo 1,Chile,3,2,3,0,2,1,1,2,-1,0
1974,Grupo 1,Australia,4,1,3,0,1,2,0,5,-5,0
1974,Grupo 2,Yugoslavia,1,4,3,1,2,0,10,1,9,1
1974,Grupo 2,Brasil,2,4,3,1,2,0,3,0,3,1
1974,Grupo 2,Escocia,3,4,3,1,2,0,3,1,2,0
1974,Grupo 2,Zaire,4,0,3,0,0,3,0,14,-14,0
1974,Grupo 3,Países Bajos,1,5,3,2,1,0,6,1,5,1
1974,Grupo 3,Suecia,2,4,3,1,2,0,3,0,3,1
1974,Grupo 3,Bulgaria,3,2,3,0,2,1,2,5,-3,0
1974,Grupo 3,Uruguay,4,1,3,0,1,2,1,6,-5,0
1974,Grupo 4,Polonia,1,6,3,3,0,0,12,3,9,1
1974,Grupo 4,Argentina,2,3,3,1,1,1,7,5,2,1
